evidence_id,evidence_title,promise_id,promise_text,match_type,semantic_score,llm_confidence,llm_reasoning,is_final_match
20250603_45-1_LegisInfo_e35c0785,Bill C-2: Introduction and first reading in House of Commons,LPC-123,Significantly increase the annual budget of the Canada Community Security Program in order to help protect vulnerable communities and places of worship.,semantic,0.4989,0.6000,"The promise is to increase the budget for a specific program, which typically requires legislative action. The evidence indicates the introduction and first reading of Bill C-2, which is a necessary procedural step for any new legislation, including budget or appropriation bills. While the specific content of Bill C-2 is unknown, its introduction represents a potential legislative vehicle for fulfilling such a promise, making it a related policy action.",True
20250603_45-1_LegisInfo_e35c0785,Bill C-2: Introduction and first reading in House of Commons,SFT_ONLY_026,"The Government will discharge its duty to protect Canadians and their sovereign rights, from wherever challenges may come at home or abroad.",semantic,0.4803,N/A,N/A,False
20250605_45-1_LegisInfo_e35c0785,Bill C-2: Introduction and first reading in House of Commons,LPC-123,Significantly increase the annual budget of the Canada Community Security Program in order to help protect vulnerable communities and places of worship.,semantic,0.4989,0.6500,"The evidence describes the introduction and first reading of Bill C-2, which is an initial legislative step. Assuming Bill C-2 is related to increasing the budget for the Canada Community Security Program (as suggested by the semantic similarity score), this action serves as a supporting step towards fulfilling the promise by initiating the necessary legislative process for such a budget increase.",True
20250605_45-1_LegisInfo_e35c0785,Bill C-2: Introduction and first reading in House of Commons,SFT_ONLY_026,"The Government will discharge its duty to protect Canadians and their sovereign rights, from wherever challenges may come at home or abroad.",semantic,0.4803,N/A,N/A,False
20250606_45-1_LegisInfo_1cbf1484,Bill C-4: Introduction and first reading in House of Commons,LPC-228,Cut income taxes for the middle class and save dual-income families up to $825 a year. Reduce the marginal tax rate on the lowest tax bracket by 1 percentage point. This will come into effect on Canada Day 2025.,semantic,0.6048,0.8000,High semantic similarity (0.605),True
20250606_45-1_LegisInfo_1cbf1484,Bill C-4: Introduction and first reading in House of Commons,LPC-181,"Make generational housing investments to double the pace of construction and drive down the cost of homes, rent, and mortgage payments.",semantic,0.5864,0.8000,High semantic similarity (0.586),True
20250606_45-1_LegisInfo_1cbf1484,Bill C-4: Introduction and first reading in House of Commons,LPC-231,"Make mortgage payments more affordable by reviewing Canada's mortgage market with the objective to offer Canadians more options while retaining stability in the market. This work will look at barriers to longer interest rate terms on mortgages, which would give Canadians more financial stability.",semantic,0.5438,0.7000,High semantic similarity (0.544),True
20250606_45-1_LegisInfo_1cbf1484,Bill C-4: Introduction and first reading in House of Commons,LPC-177,"Give a temporary income boost to low-income seniors by increasing the Guaranteed Income Supplement (GIS) by 5%, providing up to an additional $652 in income per year, tax-free.",semantic,0.5316,0.7000,High semantic similarity (0.532),True
20250606_45-1_LegisInfo_1cbf1484,Bill C-4: Introduction and first reading in House of Commons,LPC-232,"Fund home retrofits and lower utility bills while making it easier for low- and middle-income households, including renters, to adopt heat pumps and energy efficiency upgrades. Eligible costs could include insulation upgrades, heat pump installation, and window replacements.",semantic,0.5275,0.7000,High semantic similarity (0.528),True
20250606_45-1_LegisInfo_1cbf1484,Bill C-4: Introduction and first reading in House of Commons,LPC-324,"Spend less, so Canada can invest more. Build a new Canadian economy through investments that will create great jobs, higher incomes, and drive the productivity we need to pay for a stronger health care system and social services.",semantic,0.5268,0.7000,High semantic similarity (0.527),True
