MLC ID,Commitment,Reporting Lead,All ministers
100,"Ensure the overall fiscal health of the government, including by working to implement the fiscal plan outlined in Budget 2021 and driving a plan for long-term economic growth.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
103,Top up the Safe Return to Class Fund for ventilation improvement projects across Canada.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
104,Provide funding for First Nations to improve indoor air quality in on-reserve schools.,Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario,Deputy Prime Minister and Minister of Finance; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario and Minister responsible for the Federal Economic Development Agency for Northern Ontario
105,Introduce a tax credit for small businesses to invest in better ventilation.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
106,"Increase the Eligible Educator School Supply Tax Credit to 25 per cent, expand eligibility to include tech devices, and ensure that teaching supplies purchased for employment duties are eligible no matter where those duties are performed.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
107,"Support business recovery and workers, including by implementing legislation that extends the Canada Recovery Hiring Program, introduces rent and wage supports for tourism and hospitality sectors and arts and culture industries, and provides emergency support in the event of future public health lockdowns.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
109,Introduce legislation to raise the corporate income tax payable by banks and insurance companies that earn more than $1 billion and require them to pay a temporary Canada Recovery Dividend.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
110,Establish a minimum 15 per cent tax rule for top-bracket earners.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
111,"Implement a tax on luxury cars, boats and planes.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
112,Close the tax gap and combat aggressive tax planning and avoidance.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue; Minister of Justice and Attorney General of Canada
113,Modernize the general anti-avoidance rule regime.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
115,Introduce a Labour Mobility Tax Credit worth up to $600 a year for workers in the building and construction trades incurring eligible travel and temporary relocation expenses.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of Labour; Minister of National Revenue
116,"Introduce a Career Extension Tax Credit of up to $1,650 a year for seniors who want to stay in the workforce.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of Labour; Minister of National Revenue
117,Champion the adoption of a global minimum standard on carbon pricing.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of Environment and Climate Change; Ministre of Foreign Affairs
118,Carry out consultations to inform an approach to applying Border Carbon Adjustments to imports from countries that are not doing their part to reduce carbon pollution and fight climate change.,Deputy Prime Minister and Minister of Finance,"Deputy Prime Minister and Minister of Finance; Minister of Environment and Climate Change; Minister of International Trade, Export Promotion, Small Business and Economic Development"
119,Ensure budgetary measures are consistent with the government’s climate goals and the legislated requirement to achieve net-zero emissions by no later than 2050.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of Environment and Climate Change; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness President of the Treasury Board
120,"Make investments to achieve a 100 per cent net-zero electricity system by 2035, accelerate the adoption of zero- emissions vehicles and other clean technologies, and advance the decarbonization of buildings and broader industry.",Deputy Prime Minister and Minister of Finance,"Deputy Prime Minister and Minister of Finance; Minister of Innovation, Science and Industry; Minister of Natural Resources; Minister of Transport"
121,Accelerate Canada's G20 commitment to eliminate fossil fuel subsidies from 2025 to 2023.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of Environment and Climate Change; Minister of Natural Resources
123,"Eliminate flow-through shares for oil, gas and coal projects.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
124,"Introduce an investment tax credit for capital invested in Carbon Capture, Utilization and Storage projects.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
125,"Establish a new Futures Fund for Alberta, Saskatchewan and Newfoundland and Labrador that supports local and regional economic diversification and place-based strategies.","Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Deputy Prime Minister and Minister of Finance; Minister of Official Languages and Minister responsible for the Atlantic Canada Opportunities Agency; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency; Minister of Rural Economic Development; Minister of Tourism and Associate Minister of Finance"
126,"Establish an investment tax credit of up to 30 per cent for a broad range of clean technologies, including renewable energy and battery storage solutions.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
127,Double the Mineral Exploration Tax Credit for minerals essential to the manufacture of vital clean technologies.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
129,Move toward mandatory climate-related financial disclosures and require federally regulated institutions to issue climate-related financial disclosures and net-zero plans.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of Environment and Climate Change
130,Launch an annual program of green bond issuances with an initial issuance of $5 billion.,Deputy Prime Minister and Minister of Finance,"Deputy Prime Minister and Minister of Finance; Minister of Environment and Climate Change; Minister of Natural Resources; Minister of Innovation, Science and Industry; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Transport; Minister of Public Safety; Minister of Agriculture and Agri-Food; Minister of Crown-Indigenous Relations; Minister of Fisheries, Oceans and Canadian Coast Guard; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario"
131,Develop a net-zero capital allocation strategy to accelerate Canada’s transition to a prosperous net-zero future.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of Environment and Climate Change
132,"To extend the life of home appliances, introduce a 15 per cent tax credit of up to $500 to cover the cost of repairs performed by technicians.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
133,Introduce legislation to double the First-Time Home Buyers’ Tax Credit.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
134,Create a tax-free First Home Savings Account.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
135,"Develop a loan program as an option to the current shared-equity mortgage, repayable only at the time of sale.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
136,Introduce legislation to double the Home Accessibility Tax Credit.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
137,Review insurance policies to assess whether such policies are supportive of the aspiration that everyone in Canada has a home that they can afford and that meets their needs by 2030.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
140,Introduce amendments to the Income Tax Act to require landlords to disclose in their tax filings the rent they receive pre- and post-renovation and to pay a proportional surtax if the increase in rent is excessive.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
141,Establish an anti-flipping tax on residential properties.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
142,"Implement Canada’s tax on non-resident, non-Canadian owners of vacant, underused housing, and work to include foreign-owned vacant land within large urban areas.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
143,Review and consider reforms to the tax treatment of Real Estate Investment Trusts.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
144,Review down payment requirements for investment properties.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
145,Develop policies to curb excessive profits in investment properties while protecting small independent landlords.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
148,Establish a ban on foreign investment capital in non-recreational residential property for the next two years.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of Housing and Diversity and Inclusion
149,Advance the priority of Indigenous communities to reclaim full jurisdiction over tax matters.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario Canada
151,Work with global partners to bring the new OECD/G20 agreement on tax reform related to the world’s largest corporations into effect and then legislate its implementation.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
152,Move ahead with legislation to implement a Digital Services Tax to come into effect in 2024 if the OECD/G20 agreement on tax reform is not in force.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
153,"Introduce amendments to the Income Tax Act to allow privately owned, Canadian-controlled businesses to expense up to $1.5 million of growth-enhancing investments.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
154,Reform the Scientific Research and Experimental Development Program.,Deputy Prime Minister and Minister of Finance,"Deputy Prime Minister and Minister of Finance; Minister of National Revenue; Minister of Innovation, Science and Industry"
155,Introduce a one-time income tax deduction for health care professionals who are just starting out in their careers to help with the costs of setting up their practice in a rural community.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
156,Introduce amendments to the Income Tax Act to make anti-abortion organizations that provide dishonest counselling to pregnant women about their rights and options ineligible for charitable status.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister for Women and Gender Equality and Youth
157,Introduce amendments to the Income Tax Act to expand the Medical Expense Tax Credit to include costs reimbursed to surrogate mothers for IVF expenses.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
158,Move forward with a national tax on vaping products.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
159,"Convert the Canada Caregiver Credit into a refundable tax-free benefit, allowing caregivers to receive up to $1,250 a year.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
160,Increase the Canada Pension Plan and Quebec Pension Plan survivor’s benefit by 25 per cent.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of Seniors
161,Adapt and apply the Canada Business Corporations Act diversity requirements to federally regulated financial institutions to ensure diversity in senior ranks.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
162,"Require federally regulated financial institutions to offer flexible repayment options to individuals who face a life event causing financial stress, including a six-month deferral of mortgage payments in qualifying circumstances.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
163,Establish a permanent Council of Economic Advisors to provide independent advice and policy options on long-term economic growth.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
