ID,Commitment,Reporting Lead,Reporting Lead Name,All ministers
LPC-001,"Build one economy where Canadians can work wherever they want. Where goods can move freely from coast to coast to coast. Where the government's significant purchasing power buys Canadian goods and supports Canadian industries and workers. Where we use domestic strength to grow a strong economy that can never be taken away.","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy","Dominic LeBlanc","Minister of Finance; Minister of Industry; Minister of Transport and Internal Trade; Minister of Jobs and Families; Minister of Government Transformation, Public Works and Procurement"
LPC-002,"Remove barriers to internal trade. Reduce internal trade costs by up to 15% and expand our economy by up to $200 billion, that is up to $5,000 for every Canadian.","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy","Dominic LeBlanc","Minister of Finance; Minister of Industry; Minister of Transport and Internal Trade"
LPC-003,"Build trade corridors that stitch this country together more tightly – where people can work anywhere, where businesses can sell their products anywhere.","Minister of Transport and Internal Trade","Chrystia Freeland","Minister of Housing and Infrastructure; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Industry"
LPC-004,"Unleash free trade in Canada by Canada Day by tabling legislation to eliminate all federal barriers to interprovincial trade and labour mobility and to remove all federal exceptions under the Canada Free Trade Agreement.","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy","Dominic LeBlanc","Minister of Justice and Attorney General of Canada; Minister of Transport and Internal Trade; Minister of Jobs and Families; Secretary of State (Labour)"
LPC-005,"Achieve mutual recognition of credentials with provinces and territories so Canadians can work wherever they want. This includes health professional credentials, professional qualifications in financial services, and trucking safety certifications, amongst others. In cases where mutual recognition is not attainable, harmonize regulations to enhance labour mobility.","Minister of Jobs and Families","Patty Hajdu","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Health; Minister of Transport and Internal Trade; Secretary of State (Labour)"
LPC-006,"Reduce red tape. Require all relevant federal departments – such as Transport Canada, Natural Resources Canada, and Innovation, Science and Economic Development Canada - to undertake reviews and to report on progress, within 60 days, on steps to eliminate outdated or unnecessary rules, reduce duplication or overlap with provincial rules, and streamline the administration of rules and the delivery of regulatory decisions.","President of the Treasury Board","Shafqat Ali","Minister of Transport and Internal Trade; Minister of Energy and Natural Resources; Minister of Industry; Minister of Government Transformation, Public Works and Procurement"
LPC-007,"Protect our economic sovereignty by unlocking projects that grow our economy. Work with provinces and territories and Indigenous Peoples to establish a list of nation-building projects that span provincial and territorial boundaries and deliver major economic and strategic benefits to Canadians. Prioritize funding and assessment resources for these projects on an expedited basis.","Minister of Finance","François-Philippe Champagne","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Housing and Infrastructure; Minister of Indigenous Services; Minister of Crown-Indigenous Relations"
LPC-008,"Invest to build infrastructure that connects Canada, breaks down barriers, and brings people and economies closer together. Work with all orders of government and Indigenous Peoples on critical infrastructure that connects communities. These could include contributions to projects such as the George Massey Tunnel that connects Richmond to Delta; supporting Alberta's work on Edmonton to Calgary passenger rail; the Québec City Tramway; the Grays Bay Port and Road Project connecting the Arctic Ocean to Yellowknife and into southern Canada; and other projects such as the twinning of the Trans-Canada Highway.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Transport and Internal Trade; Minister of Finance; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Northern and Arctic Affairs"
LPC-009,"Make the Confederation Bridge, Northumberland and Marine Atlantic, and the Coopérative de Transport Maritime et Aérien Ferries more affordable. Ensure fair and equal treatment for PEI's bridge and ferry access.","Minister of Transport and Internal Trade","Chrystia Freeland","Minister of Finance; Minister responsible for the Atlantic Canada Opportunities Agency"
LPC-010,"Build high-speed rail that connects communities between Windsor and Québec City.","Minister of Transport and Internal Trade","Chrystia Freeland","Minister of Housing and Infrastructure; Minister of Finance"
LPC-011,"Direct the Canadian Transportation Agency to develop a plan to address persistent complaints about accessibility on aircraft and other modes of transportation.","Minister of Transport and Internal Trade","Chrystia Freeland","Minister of Jobs and Families"
LPC-012,"Build new trade infrastructure that connects Canada through the new $5 billion Trade Diversification Corridors Fund, including ports, railways, airports, highways, and other trade enabling infrastructure.","Minister of Transport and Internal Trade","Chrystia Freeland","Minister of Housing and Infrastructure; Minister of International Trade; Minister of Finance"
LPC-013,"Build the Arctic economy with more ports, highways, railways, and energy infrastructure, with a focus on dual-use infrastructure that grows our economy, reinforces our partnership with Indigenous communities, and secures our sovereignty.","Minister of Northern and Arctic Affairs and Minister responsible for the Canadian Northern Economic Development Agency","Rebecca Chartrand","Minister of Housing and Infrastructure; Minister of Transport and Internal Trade; Minister of Energy and Natural Resources; Minister of National Defence; Minister of Indigenous Services; Minister of Crown-Indigenous Relations"
LPC-014,"Advance nation-building infrastructure projects through the recently doubled Indigenous Loan Guarantee Program from $5 billion to $10 billion and increasing the sectoral scope.","Minister of Finance","François-Philippe Champagne","Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Housing and Infrastructure; Minister of Energy and Natural Resources"
LPC-015,"Build out Canada's east-west electricity grid, a nation-building transmission project developed with provinces, territories, and Indigenous partners, and stakeholders.","Minister of Energy and Natural Resources","Tim Hodgson","Minister of Housing and Infrastructure; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Environment and Climate Change; Minister of Crown-Indigenous Relations; Minister of Indigenous Services"
