Department,Responsible Minister,Date of Mandate Letter,Mandate Letter URL
Deputy Prime Minister and Minister of Finance,Chrystia Freeland,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/deputy-prime-minister-and-minister-finance-mandate-letter
Minister of Veterans Affairs and Associate Minister of National Defence,Lawrence MacAulay,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-veterans-affairs-and-associate-minister-national-defence
Minister of Mental Health and Addictions and Associate Minister of Health,Carolyn Bennett,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-mental-health-and-addictions-and-associate-minister-health
"Minister of Intergovernmental Affairs, Infrastructure and Communities",Dominic LeBlanc,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-intergovernmental-affairs-infrastructure-and-communities
Minister of Health,Jean-Yves Duclos,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-health-mandate-letter
Minister of Agriculture and Agri-Food,Marie-Claude Bibeau,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-agriculture-and-agri-food-mandate-letter
Minister of Foreign Affairs,Mélanie Joly,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-foreign-affairs-mandate-letter
Minister of National Revenue,Diane Lebouthillier,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-national-revenue-mandate-letter
Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Harjit S. Sajjan,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-international-development-and-minister-responsible-pacific
"Minister of Employment, Workforce Development and Disability Inclusion",Carla Qualtrough,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-employment-workforce-development-and-disability-inclusion
Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario,Patty Hajdu,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-indigenous-services-and-minister-responsible-federal-economic
"Minister of Innovation, Science and Industry",François-Philippe Champagne,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-innovation-science-and-industry-mandate-letter
"Minister of Families, Children and Social Development",Karina Gould,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-families-children-and-social-development-mandate-letter
Minister of Housing and Diversity and Inclusion,Ahmed Hussen,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-housing-and-diversity-and-inclusion-mandate-letter
Minister of Labour,Seamus O'Regan Jr.,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-labour-mandate-letter
Minister of Official Languages and Minister responsible for the Atlantic Canada Opportunities Agency,Ginette Petitpas Taylor,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-official-languages-and-minister-responsible-atlantic-canada
Minister of Canadian Heritage,Pablo Rodriguez,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-canadian-heritage-mandate-letter
President of the King’s Privy Council for Canada and Minister of Emergency Preparedness,Bill Blair,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/president-kings-privy-council-canada-and-minister-emergency-preparedness
"Minister of International Trade, Export Promotion, Small Business and Economic Development",Mary Ng,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-international-trade-export-promotion-small-business-and
Minister of National Defence,Anita Anand,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-national-defence-mandate-letter
President of the Treasury Board,Mona Fortier,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/president-treasury-board-mandate-letter
Minister of Environment and Climate Change,Steven Guilbeault,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-environment-and-climate-change-mandate-letter
Minister of Public Safety,Marco E. L. Mendicino,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-public-safety-mandate-letter
Minister of Crown-Indigenous Relations,Marc Miller,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-crown-indigenous-relations-mandate-letter
"Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada and Minister responsible for the Canadian Northern Economic Development Agency",Dan Vandal,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-northern-affairs-minister-responsible-prairies-economic
Minister of Transport,Omar Alghabra,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-transport-mandate-letter
Minister of Tourism and Associate Minister of Finance,Randy Boissonnault,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-tourism-and-associate-minister-finance-mandate-letter
"Minister of Immigration, Refugees and Citizenship",Sean Fraser,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-immigration-refugees-and-citizenship-mandate-letter
Leader of the Government in the House of Commons,Mark Holland,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/leader-government-house-commons-mandate-letter
