commitment_id,canonical_commitment_text,appears_in,reporting_lead_title,all_other_ministers_involved,notes_and_differences
LPC-001,Build one economy where Canadians can work wherever they want. Where goods can move freely from coast to coast to coast. Where the government's significant purchasing power buys Canadian goods and supports Canadian industries and workers. Where we use domestic strength to grow a strong economy that can never be taken away.,Platform Only,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy","Minister of Finance; Minister of Industry; Minister of Transport and Internal Trade; Minister of Jobs and Families; Minister of Government Transformation, Public Works and Procurement",Platform-specific commitment. High-level vision related to internal trade and 'Buy Canadian' themes covered by more specific promises.
LPC-002,"Remove barriers to internal trade. Reduce internal trade costs by up to 15% and expand our economy by up to $200 billion, that is up to $5,000 for every Canadian.",Platform Only,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Minister of Finance; Minister of Industry; Minister of Transport and Internal Trade,Platform-specific commitment focusing on economic outcomes of removing internal trade barriers. Related to LPC-004 and SFT_007/SFT_008.
LPC-003,"Build trade corridors that stitch this country together more tightly \u2013 where people can work anywhere, where businesses can sell their products anywhere.",Platform Only,Minister of Transport and Internal Trade,"Minister of Housing and Infrastructure; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Industry",Platform-specific commitment.
LPC-004,Unleash free trade in Canada by Canada Day by tabling legislation to eliminate all federal barriers to interprovincial trade and labour mobility and to remove all federal exceptions under the Canada Free Trade Agreement.,Both,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Minister of Justice and Attorney General of Canada; Minister of Transport and Internal Trade; Minister of Jobs and Families; Secretary of State (Labour),Matches SFT_007 (legislation for internal trade/labour mobility by Canada Day) and SFT_008 (deliver free trade by Canada Day). Platform is more specific about removing all federal exceptions under CFTA.
LPC-005,"Achieve mutual recognition of credentials with provinces and territories so Canadians can work wherever they want. This includes health professional credentials, professional qualifications in financial services, and trucking safety certifications, amongst others. In cases where mutual recognition is not attainable, harmonize regulations to enhance labour mobility.",Platform Only,Minister of Jobs and Families,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Health; Minister of Transport and Internal Trade; Secretary of State (Labour)","Platform-specific commitment related to labour mobility, a component of internal free trade."
LPC-006,"Reduce red tape. Require all relevant federal departments \u2013 such as Transport Canada, Natural Resources Canada, and Innovation, Science and Economic Development Canada - to undertake reviews and to report on progress, within 60 days, on steps to eliminate outdated or unnecessary rules, reduce duplication or overlap with provincial rules, and streamline the administration of rules and the delivery of regulatory decisions.",Platform Only,President of the Treasury Board,"Minister of Transport and Internal Trade; Minister of Energy and Natural Resources; Minister of Industry; Minister of Government Transformation, Public Works and Procurement",Platform-specific commitment.
LPC-007,Protect our economic sovereignty by unlocking projects that grow our economy. Work with provinces and territories and Indigenous Peoples to establish a list of nation-building projects that span provincial and territorial boundaries and deliver major economic and strategic benefits to Canadians. Prioritize funding and assessment resources for these projects on an expedited basis.,Both,Minister of Finance,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Housing and Infrastructure; Minister of Indigenous Services; Minister of Crown-Indigenous Relations",Matches SFT_009 (working with P/T/Indigenous to identify/catalyse projects of national significance). Platform adds detail on prioritizing funding and assessment resources on an expedited basis.
LPC-008,"Invest to build infrastructure that connects Canada, breaks down barriers, and brings people and economies closer together. Work with all orders of government and Indigenous Peoples on critical infrastructure that connects communities. These could include contributions to projects such as the George Massey Tunnel that connects Richmond to Delta; supporting Alberta's work on Edmonton to Calgary passenger rail; the Qu\u00e9bec City Tramway; the Grays Bay Port and Road Project connecting the Arctic Ocean to Yellowknife and into southern Canada; and other projects such as the twinning of the Trans-Canada Highway.",Platform Only,Minister of Housing and Infrastructure,"Minister of Transport and Internal Trade; Minister of Finance; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Northern and Arctic Affairs",Platform-specific commitment with examples of infrastructure projects.
LPC-009,"Make the Confederation Bridge, Northumberland and Marine Atlantic, and the Coop\u00e9rative de Transport Maritime et A\u00e9rien Ferries more affordable. Ensure fair and equal treatment for PEI's bridge and ferry access.",Platform Only,Minister of Transport and Internal Trade,Minister of Finance; Minister responsible for the Atlantic Canada Opportunities Agency,Platform-specific commitment.
LPC-010,Build high-speed rail that connects communities between Windsor and Qu\u00e9bec City.,Platform Only,Minister of Transport and Internal Trade,Minister of Housing and Infrastructure; Minister of Finance,Platform-specific commitment.
LPC-011,Direct the Canadian Transportation Agency to develop a plan to address persistent complaints about accessibility on aircraft and other modes of transportation.,Platform Only,Minister of Transport and Internal Trade,Minister of Jobs and Families,Platform-specific commitment.
LPC-012,"Build new trade infrastructure that connects Canada through the new $5 billion Trade Diversification Corridors Fund, including ports, railways, airports, highways, and other trade enabling infrastructure.",Platform Only,Minister of Transport and Internal Trade,Minister of Housing and Infrastructure; Minister of International Trade; Minister of Finance,Platform-specific commitment.
LPC-013,"Build the Arctic economy with more ports, highways, railways, and energy infrastructure, with a focus on dual-use infrastructure that grows our economy, reinforces our partnership with Indigenous communities, and secures our sovereignty.",Platform Only,Minister of Northern and Arctic Affairs and Minister responsible for the Canadian Northern Economic Development Agency,Minister of Housing and Infrastructure; Minister of Transport and Internal Trade; Minister of Energy and Natural Resources; Minister of National Defence; Minister of Indigenous Services; Minister of Crown-Indigenous Relations,"Platform-specific commitment related to Arctic development and sovereignty, aligns with SFT_025's intent."
