Department,Responsible Minister,Date of Mandate Letter,Mandate Letter URL
Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/deputy-prime-minister-and-minister-finance-mandate-letter
Minister of Veterans Affairs and Associate Minister of National Defence,Minister of Veterans Affairs and Associate Minister of National Defence,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-veterans-affairs-and-associate-minister-national-defence
Minister of Mental Health and Addictions and Associate Minister of Health,Minister of Mental Health and Addictions and Associate Minister of Health,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-mental-health-and-addictions-and-associate-minister-health
"Minister of Intergovernmental Affairs, Infrastructure and Communities","Minister of Intergovernmental Affairs, Infrastructure and Communities","December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-intergovernmental-affairs-infrastructure-and-communities
Minister of Health,Minister of Health,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-health-mandate-letter
Minister of Agriculture and Agri-Food,Minister of Agriculture and Agri-Food,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-agriculture-and-agri-food-mandate-letter
Minister of Foreign Affairs,Minister of Foreign Affairs,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-foreign-affairs-mandate-letter
Minister of National Revenue,Minister of National Revenue,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-national-revenue-mandate-letter
Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-international-development-and-minister-responsible-pacific
"Minister of Employment, Workforce Development and Disability Inclusion","Minister of Employment, Workforce Development and Disability Inclusion","December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-employment-workforce-development-and-disability-inclusion
Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario,Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-indigenous-services-and-minister-responsible-federal-economic
"Minister of Innovation, Science and Industry","Minister of Innovation, Science and Industry","December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-innovation-science-and-industry-mandate-letter
"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development","December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-families-children-and-social-development-mandate-letter
Minister of Housing and Diversity and Inclusion,Minister of Housing and Diversity and Inclusion,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-housing-and-diversity-and-inclusion-mandate-letter
Minister of Labour,Minister of Labour,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-labour-mandate-letter
Minister of Official Languages and Minister responsible for the Atlantic Canada Opportunities Agency,Minister of Official Languages and Minister responsible for the Atlantic Canada Opportunities Agency,"December 16, 2021",https://www.pm.gc.ca/en/mandate-letters/2021/12/16/minister-official-languages-and-minister-responsible-atlantic-canada
