department,count
Agriculture and Agri-Food Canada,90
Employment and Social Development Canada,202
Infrastructure Canada,92
Minister of Housing and Diversity and Inclusion,8
Not specified,37
Canadian Food Inspection Agency,15
None,1943
Privy Council Office,67
Global Affairs Canada,816
Finance Canada,170
Transport Canada,114
"Immigration, Refugees and Citizenship Canada",110
Fisheries and Oceans Canada,87
Women and Gender Equality Canada,40
"Employment, Workforce Development and Disability Inclusion",2
Environment and Climate Change Canada,272
Department of National Defence,50
Labour Canada,3
Department of Finance Canada,219
Department of Justice Canada,97
Indigenous Services Canada,94
Department of Justice,35
Canadian Heritage,106
"Department of Justice Canada, Women and Gender Equality Canada",1
Crown-Indigenous Relations and Indigenous Services Canada,1
Treasury Board of Canada Secretariat,200
"Innovation, Science and Economic Development Canada",99
"Innovation, Science and Economic Development Canada (ISED)",2
Department of Finance,76
Natural Resources Canada,106
Crown-Indigenous Relations and Northern Affairs Canada,130
Public Health Agency of Canada,144
Health Canada,313
Justice Canada,8
Northern Affairs Canada,5
Crown-Indigenous Relations,18
Public Safety Canada,192
Environment and Climate Change Canada; Health Canada,17
Mental Health and Addictions,2
Diversity and Inclusion,2
Housing and Diversity and Inclusion,2
Canadian Nuclear Safety Commission,9
"Innovation, Science and Economic Development Canada; Health Canada",1
Department of Official Languages,1
National Defence,52
Department of Industry,1
Labour,4
Health Canada; Indigenous Services Canada; Crown-Indigenous Relations and Northern Affairs Canada,1
Veterans Affairs Canada,12
"International Trade, Export Promotion, Small Business and Economic Development",3
Global Affairs Canada; National Defence; Public Safety Canada,1
Employment and Social Development Canada - Labour Program,1
Department of Canadian Heritage,10
"Innovation, Science and Industry Canada",13
Department of Justice; Crown-Indigenous Relations and Northern Affairs Canada,1
Department of Housing and Diversity and Inclusion,2
Women and Gender Equality Canada; Treasury Board of Canada Secretariat,1
Department of Employment and Social Development,1
Treasury Board Secretariat,12
Unknown,6
Artificial Intelligence and Digital Innovation,25
Citizenship and Immigration Canada,2
Health Canada; Agriculture and Agri-Food Canada,1
"Global Affairs Canada, Department of Finance Canada",1
Not specified in provided text,5
"Fisheries, Oceans and the Canadian Coast Guard",1
Minister of Mental Health and Addictions,2
Service Canada,4
Canada Border Services Agency,14
Department for Women and Gender Equality,2
Impact Assessment Agency of Canada,1
Canada Revenue Agency,9
Canadian Coast Guard,2
Prairies Economic Development Canada,17
Financial Consumer Agency of Canada,3
Crown-Indigenous Relations and Northern Affairs Canada; Department of Justice Canada,1
Women and Gender Equality and Youth,1
Competition Bureau,3
Public Safety and Emergency Preparedness Canada,6
Public Safety and Emergency Preparedness,7
Canadian Government,1
Public Works and Government Services,1
Atlantic Canada Opportunities Agency,11
"Health Canada, Employment and Social Development Canada",1
Minister of Industry,1
Health Canada and Public Services and Procurement Canada,1
Correctional Service of Canada,4
Financial Consumer Agency of Canada (FCAC),1
Veterans Affairs Canada; National Defence; Public Safety Canada,1
Employment and Social Development Canada; Canada Revenue Agency,1
Health Canada; Public Services and Procurement Canada,1
Parks Canada Agency,4
PrairiesCan,3
Federal Economic Development Agency for Southern Ontario,26
Pacific Economic Development Agency of Canada,8
FedNor,4
Canada Economic Development for Quebec Regions,29
Parks Canada,13
Atlantic Canada Opportunities Agency (ACOA),3
Minister of Northern Affairs,1
Public Services and Procurement Canada,25
Canadian Northern Economic Development Agency,4
Natural Resources Canada; Fisheries and Oceans Canada,1
Public Works and Government Services Canada,2
Federal Economic Development Agency for Southern Ontario (FedDev Ontario),9
Environment and Climate Change Canada and Health Canada,3
Rural Economic Development,14
Pacific Economic Development Agency of Canada (PacifiCan),5
Official Languages,1
Minister of Rural Economic Development,1
Agriculture and Agri-Food Canada; Global Affairs Canada,2
Canada Deposit Insurance Corporation,1
"Minister of Families, Children and Social Development",3
Department of National Revenue,1
Health Canada; Employment and Social Development Canada,1
Crown-Indigenous Relations and Indigenous Services,1
"National Defence, Global Affairs Canada",1
Canadian Food Inspection Agency; Public Health Agency of Canada,1
Environment and Climate Change Canada; Natural Resources Canada,1
Canadian Institutes of Health Research,3
CRTC,10
Pacific Economic Development Canada,1
